home_team,away_team,home_win,away_win,home_goals,away_goals,home_goals_half_time,away_goals_half_time,home_goals_fulltime,away_goals_fulltime
Necaxa,Toluca,False,True,1.0,3.0,1.0,2.0,1.0,3.0
Mazatlán,Puebla,False,True,2.0,4.0,0.0,2.0,2.0,4.0
Guadalajara Chivas,FC Juarez,,,0.0,0.0,0.0,0.0,0.0,0.0
Tigres UANL,Cruz Azul,False,True,2.0,3.0,0.0,1.0,2.0,3.0
Club America,Atlas,,,0.0,0.0,0.0,0.0,0.0,0.0
U.N.A.M. - Pumas,Club Tijuana,,,1.0,1.0,0.0,1.0,1.0,1.0
Atletico San Luis,Leon,False,True,1.0,2.0,0.0,1.0,1.0,2.0
Santos Laguna,Monterrey,True,False,4.0,3.0,2.0,2.0,4.0,3.0
Pachuca,Club Queretaro,True,False,2.0,0.0,1.0,0.0,2.0,0.0
Mazatlán,Tigres UANL,False,True,0.0,1.0,0.0,1.0,0.0,1.0
Puebla,Santos Laguna,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Club Tijuana,FC Juarez,False,True,0.0,2.0,0.0,0.0,0.0,2.0
Guadalajara Chivas,Atletico San Luis,False,True,0.0,1.0,0.0,1.0,0.0,1.0
Cruz Azul,Pachuca,False,True,1.0,2.0,0.0,2.0,1.0,2.0
Monterrey,Club America,True,False,3.0,2.0,1.0,2.0,3.0,2.0
Toluca,Atlas,True,False,3.0,2.0,3.0,1.0,3.0,2.0
Club Queretaro,Necaxa,False,True,1.0,2.0,1.0,1.0,1.0,2.0
Leon,U.N.A.M. - Pumas,,,3.0,3.0,0.0,2.0,3.0,3.0
Club America,Toluca,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Puebla,Leon,,,1.0,1.0,1.0,0.0,1.0,1.0
FC Juarez,Club Queretaro,,,1.0,1.0,1.0,1.0,1.0,1.0
Atlas,Cruz Azul,True,False,3.0,2.0,1.0,1.0,3.0,2.0
Santos Laguna,Guadalajara Chivas,,,1.0,1.0,0.0,0.0,1.0,1.0
U.N.A.M. - Pumas,Necaxa,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Atletico San Luis,Monterrey,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Tigres UANL,Club Tijuana,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Pachuca,Mazatlán,,,1.0,1.0,0.0,0.0,1.0,1.0
Guadalajara Chivas,Leon,,,0.0,0.0,0.0,0.0,0.0,0.0
Club Queretaro,Monterrey,False,True,0.0,3.0,0.0,1.0,0.0,3.0
Mazatlán,Atletico San Luis,,,1.0,1.0,1.0,1.0,1.0,1.0
Necaxa,FC Juarez,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Toluca,Santos Laguna,True,False,2.0,1.0,2.0,0.0,2.0,1.0
Cruz Azul,Puebla,,,2.0,2.0,2.0,2.0,2.0,2.0
Tigres UANL,Atlas,True,False,2.0,0.0,2.0,0.0,2.0,0.0
Club Tijuana,Club America,True,False,2.0,0.0,1.0,0.0,2.0,0.0
Pachuca,U.N.A.M. - Pumas,,,0.0,0.0,0.0,0.0,0.0,0.0
Atlas,Club Tijuana,False,True,1.0,2.0,1.0,2.0,1.0,2.0
Monterrey,Puebla,True,False,1.0,0.0,1.0,0.0,1.0,0.0
FC Juarez,Tigres UANL,False,True,0.0,1.0,0.0,1.0,0.0,1.0
Atletico San Luis,Cruz Azul,,,0.0,0.0,0.0,0.0,0.0,0.0
Leon,Toluca,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Club Queretaro,Guadalajara Chivas,,,2.0,2.0,1.0,1.0,2.0,2.0
Necaxa,Pachuca,True,False,2.0,0.0,1.0,0.0,2.0,0.0
U.N.A.M. - Pumas,Mazatlán,,,1.0,1.0,0.0,0.0,1.0,1.0
Club America,Santos Laguna,,,3.0,3.0,1.0,2.0,3.0,3.0
FC Juarez,Toluca,,,1.0,1.0,0.0,0.0,1.0,1.0
Cruz Azul,Necaxa,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Tigres UANL,Club Queretaro,True,False,2.0,1.0,1.0,1.0,2.0,1.0
Guadalajara Chivas,Pachuca,,,0.0,0.0,0.0,0.0,0.0,0.0
Puebla,Atletico San Luis,,,0.0,0.0,0.0,0.0,0.0,0.0
Club Tijuana,Mazatlán,True,False,2.0,0.0,0.0,0.0,2.0,0.0
U.N.A.M. - Pumas,Monterrey,,,1.0,1.0,1.0,1.0,1.0,1.0
Santos Laguna,Atlas,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Leon,Club America,True,False,3.0,2.0,1.0,1.0,3.0,2.0
Atlas,Club Queretaro,True,False,3.0,1.0,0.0,1.0,3.0,1.0
Puebla,U.N.A.M. - Pumas,True,False,2.0,1.0,2.0,0.0,2.0,1.0
Mazatlán,Guadalajara Chivas,True,False,2.0,1.0,0.0,0.0,2.0,1.0
Monterrey,Leon,True,False,5.0,1.0,3.0,0.0,5.0,1.0
Club America,FC Juarez,True,False,2.0,1.0,0.0,0.0,2.0,1.0
Santos Laguna,Cruz Azul,True,False,4.0,0.0,1.0,0.0,4.0,0.0
Toluca,Club Tijuana,True,False,3.0,1.0,1.0,1.0,3.0,1.0
Atletico San Luis,Necaxa,False,True,1.0,2.0,1.0,2.0,1.0,2.0
Pachuca,Tigres UANL,True,False,2.0,0.0,1.0,0.0,2.0,0.0
Club Queretaro,Atletico San Luis,,,1.0,1.0,0.0,0.0,1.0,1.0
Necaxa,Monterrey,False,True,1.0,2.0,1.0,0.0,1.0,2.0
Club Tijuana,Puebla,,,3.0,3.0,1.0,1.0,3.0,3.0
FC Juarez,Pachuca,True,False,2.0,1.0,2.0,1.0,2.0,1.0
Leon,Mazatlán,False,True,0.0,3.0,0.0,3.0,0.0,3.0
U.N.A.M. - Pumas,Club America,False,True,0.0,3.0,0.0,1.0,0.0,3.0
Guadalajara Chivas,Atlas,,,1.0,1.0,0.0,0.0,1.0,1.0
Cruz Azul,Toluca,False,True,2.0,3.0,1.0,2.0,2.0,3.0
Tigres UANL,Santos Laguna,True,False,2.0,0.0,1.0,0.0,2.0,0.0
Atlas,FC Juarez,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Mazatlán,Club Queretaro,,,1.0,1.0,0.0,0.0,1.0,1.0
Puebla,Necaxa,,,2.0,2.0,1.0,0.0,2.0,2.0
Toluca,Monterrey,,,1.0,1.0,1.0,0.0,1.0,1.0
Cruz Azul,Club Tijuana,False,True,1.0,2.0,1.0,1.0,1.0,2.0
Pachuca,Club America,False,True,0.0,3.0,0.0,1.0,0.0,3.0
Santos Laguna,Leon,True,False,2.0,1.0,1.0,1.0,2.0,1.0
Atletico San Luis,U.N.A.M. - Pumas,True,False,3.0,2.0,1.0,2.0,3.0,2.0
Guadalajara Chivas,Tigres UANL,False,True,1.0,4.0,0.0,2.0,1.0,4.0
Necaxa,Guadalajara Chivas,False,True,0.0,4.0,0.0,2.0,0.0,4.0
FC Juarez,Mazatlán,,,1.0,1.0,0.0,1.0,1.0,1.0
Club Queretaro,Club Tijuana,True,False,2.0,0.0,1.0,0.0,2.0,0.0
Atlas,Puebla,,,1.0,1.0,1.0,1.0,1.0,1.0
Monterrey,Tigres UANL,,,0.0,0.0,0.0,0.0,0.0,0.0
Club America,Cruz Azul,True,False,7.0,0.0,3.0,0.0,7.0,0.0
U.N.A.M. - Pumas,Santos Laguna,False,True,1.0,5.0,0.0,3.0,1.0,5.0
Atletico San Luis,Toluca,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Pachuca,Leon,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Puebla,FC Juarez,,,2.0,2.0,1.0,1.0,2.0,2.0
Mazatlán,Club America,False,True,1.0,3.0,1.0,2.0,1.0,3.0
